frame_left,frame_right,frame_top,frame_bottom,xL,yL,xR,yR,xT,yT,xB,yB,id,confidence
4,4,4,4,359.000,148.000,375.000,160.000,359.000,148.000,375.000,160.000,4002,0.891106
4,4,4,4,370.000,84.000,388.000,87.000,370.000,84.000,388.000,87.000,4003,0.889626
4,4,4,4,331.000,146.000,345.000,156.000,331.000,146.000,345.000,156.000,4004,0.888072
4,4,4,4,325.000,134.000,339.000,137.000,325.000,134.000,339.000,137.000,4005,0.888052
4,4,4,4,376.000,68.000,396.000,69.000,376.000,68.000,396.000,69.000,4006,0.887299
4,4,4,4,332.000,142.000,347.000,150.000,332.000,142.000,347.000,150.000,4007,0.887162
4,4,4,4,369.000,66.000,387.000,67.000,369.000,66.000,387.000,67.000,4008,0.885928
4,4,4,4,359.000,141.000,375.000,153.000,359.000,141.000,375.000,153.000,4009,0.883964
4,4,4,4,383.000,69.000,402.000,70.000,383.000,69.000,402.000,70.000,4010,0.882078
4,4,4,4,330.000,156.000,345.000,165.000,330.000,156.000,345.000,165.000,4011,0.879361
4,4,4,4,335.000,26.000,351.000,19.000,335.000,26.000,351.000,19.000,4012,0.873989
4,4,4,4,363.000,14.000,382.000,11.000,363.000,14.000,382.000,11.000,4013,0.872381
4,4,4,4,373.000,80.000,392.000,83.000,373.000,80.000,392.000,83.000,4014,0.872135
4,4,4,4,329.000,142.000,339.000,147.000,329.000,142.000,339.000,147.000,4015,0.869539
4,4,4,4,390.000,136.000,409.000,150.000,390.000,136.000,409.000,150.000,4016,0.868958
4,4,4,4,324.000,155.000,335.000,165.000,324.000,155.000,335.000,165.000,4017,0.867995
4,4,4,4,219.000,333.000,223.000,345.000,219.000,333.000,223.000,345.000,4018,0.866127
4,4,4,4,211.000,330.000,213.000,342.000,211.000,330.000,213.000,342.000,4019,0.865963
4,4,4,4,351.000,142.000,367.000,155.000,351.000,142.000,367.000,155.000,4020,0.861589
4,4,4,4,339.000,190.000,351.000,206.000,339.000,190.000,351.000,206.000,4021,0.858489
4,4,4,4,383.000,134.000,402.000,143.000,383.000,134.000,402.000,143.000,4022,0.857992
4,4,4,4,330.000,20.000,343.000,16.000,330.000,20.000,343.000,16.000,4023,0.854439
